sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Leptoconchus incycloseris							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Cycloseris) costulata																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus infungites							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Fungia) fungites																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus ingrandifungi							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Sandalolitha dentata																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus ingranulosa							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Wellsofungia) granulosa																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inlimax							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Herpolitha limax																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpileus							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Halomitra pileus																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) gravis																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) moluccensis																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) paumotensis																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus massini							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Verrillofungia) concinna																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus massini							http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Verrillofungia) repanda																10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
